wav_path,text,emb_id,mel_dirs,durations
./data/VCTK/VCTK-Corpus/wav48\p243\p243_313.wav,For that reason cover should not be given.,243,./mel_out/train/0/p243_313.npy,2.19325
./data/VCTK/VCTK-Corpus/wav48\p310\p310_182.wav,I'm not a magician,310,./mel_out/train/0/p310_182.npy,1.44925
./data/VCTK/VCTK-Corpus/wav48\p239\p239_467.wav,Dunfermline manager Jimmy Calderwood was candid.,239,./mel_out/train/0/p239_467.npy,2.8985
./data/VCTK/VCTK-Corpus/wav48\p239\p239_463.wav,We will provide immediate access.,239,./mel_out/train/0/p239_463.npy,2.666
./data/VCTK/VCTK-Corpus/wav48\p240\p240_363.wav,A spokeswoman for Edinburgh City Council confirmed its support for the company.,240,./mel_out/train/0/p240_363.npy,3.844
./data/VCTK/VCTK-Corpus/wav48\p257\p257_152.wav,They did very well.,257,./mel_out/train/0/p257_152.npy,1.2155625
./data/VCTK/VCTK-Corpus/wav48\p335\p335_210.wav,John Lennon is a very large industry,335,./mel_out/train/50/p335_210.npy,3.007
./data/VCTK/VCTK-Corpus/wav48\p233\p233_370.wav,Ms McNeill was killed on impact.,233,./mel_out/train/50/p233_370.npy,2.1235
./data/VCTK/VCTK-Corpus/wav48\p306\p306_264.wav,History may repeat itself with Billy Elliot,306,./mel_out/train/50/p306_264.npy,3.4255
./data/VCTK/VCTK-Corpus/wav48\p303\p303_070.wav,Repayment is not part of the game,303,./mel_out/train/50/p303_070.npy,3.193
./data/VCTK/VCTK-Corpus/wav48\p362\p362_290.wav,Yet it seemed to work,362,./mel_out/train/50/p362_290.npy,3.634
./data/VCTK/VCTK-Corpus/wav48\p300\p300_242.wav,They were two different types,300,./mel_out/train/50/p300_242.npy,2.22425
./data/VCTK/VCTK-Corpus/wav48\p279\p279_109.wav,"For these people, the ruling is very welcome.",279,./mel_out/train/50/p279_109.npy,2.02275
./data/VCTK/VCTK-Corpus/wav48\p228\p228_129.wav,An announcement on his replacement is expected within three weeks.,228,./mel_out/train/50/p228_129.npy,4.185
./data/VCTK/VCTK-Corpus/wav48\p317\p317_019.wav,"Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows",317,ERROR_LIMITED_SIZE_ABOVE,7.68025
./data/VCTK/VCTK-Corpus/wav48\p341\p341_160.wav,You shouldn't have a stoppage in November,341,./mel_out/train/50/p341_160.npy,2.294
